Seq1Count	Seq1Frequency	Seq2Count	Seq2Frequency	FrequencyDifference	FrequencyRatio	SignificantChange
521	0.027210529064605422	4388	0.04481437981923096	-0.01760385075462554	0.6071829884596263	False
221	0.011542278163680994	2722	0.027799622121227597	-0.016257343957546605	0.4151955056564381	False
371	0.01937640361414321	1743	0.017801154062196803	0.001575249551946406	1.0884914285019118	False
244	0.012743510732751867	2064	0.021079507736301895	-0.008335997003550028	0.6045449871111429	False
185	0.009662088055570063	2511	0.025644691824541696	-0.015982603768971634	0.37676756350503493	False
231	0.01206455319371181	2711	0.027687279783485678	-0.015622726589773869	0.4357435359506794	False
210	0.0109677756306471	1407	0.014369606291170914	-0.0034018306605238142	0.7632620830666743	False
215	0.011228913145662506	1492	0.015237706173722106	-0.0040087930280596	0.736916240387094	False
297	0.015511568391915182	1838	0.018771383342695194	-0.0032598149507800118	0.8263412508674511	False
356	0.018592991069096985	1861	0.019006280957973753	-0.00041328988887676804	0.978255088947142	False
447	0.023345693842377394	1384	0.014134708675892355	0.009210985166485039	1.6516572345205076	False
307	0.016033843421945998	1107	0.011305724352754941	0.004728119069191057	1.4182057621136788	False
357	0.018645218572100067	2135	0.021804626461727008	-0.003159407889626941	0.8551037828979757	False
318	0.016608345954979894	1959	0.020007149057856305	-0.003398803102876411	0.8301205687503095	False
89	0.004648247767274246	169	0.0017259868253076648	0.0029222609419665814	2.693095740429928	False
343	0.017914033530056928	1360	0.013889598120819078	0.00402443540923785	1.289744553746709	False
277	0.014467018331853555	2972	0.030352857069907573	-0.01588583873805402	0.4766278936619922	False
203	0.010602183109625529	2534	0.02587958943982025	-0.015277406330194723	0.4096735434802619	False
224	0.011698960672690238	1786	0.01824031047336976	-0.006541349800679521	0.6413794704739444	False
253	0.013213558259779599	1458	0.014890466220701629	-0.0016769079609220295	0.8873837839549517	False
285	0.014884838355878206	3007	0.03071030996272277	-0.015825471606844565	0.48468538331087946	False
733	0.03828275970125868	4852	0.04955318388398101	-0.011270424182722324	0.7725590305335416	False
301	0.01572047840392751	2037	0.020803758361844456	-0.005083279957916947	0.75565569117357	False
237	0.012377918211730296	1700	0.017361997651023846	-0.00498407943929355	0.7129316833538659	False
282	0.014728155846868962	1703	0.017392636470408007	-0.0026644806235390454	0.846804098500396	False
369	0.019271948608137045	2014	0.0205688607465659	-0.001296912138428856	0.9369477894566726	False
480	0.025069201441479082	1326	0.0135423581677986	0.011526843273680481	1.851169577030486	False
361	0.018854128584112395	1162	0.011867436041464535	0.00698669254264786	1.5887280553471301	False
306	0.015981615918942916	1812	0.01850584690803248	-0.0025242309890895626	0.8635981913373596	False
308	0.016086070924949077	2237	0.022846346320788437	-0.006760275395839361	0.7040981826626683	False
73	0.003812607719224944	229	0.0023387632129908595	0.0014738445062340844	1.630181156453757	False
286	0.014937065858881287	1003	0.01024357861410407	0.004693487244777217	1.4581882388557939	False
238	0.012430145714733378	1527	0.015595159066537303	-0.003165013351803924	0.7970515505292199	False
184	0.009609860552566981	1331	0.0135934228667722	-0.003983562314205219	0.706949283249133	False
335	0.017496213506032275	1048	0.010703160904866466	0.006793052601165809	1.634677238018273	False
209	0.010915548127644017	789	0.00805800949803401	0.002857538629610008	1.3546209061067984	False
209	0.010915548127644017	1291	0.013184905274983404	-0.002269357147339387	0.8278821804169356	False
309	0.01613829842795216	1972	0.02013991727518766	-0.004001618847235502	0.801309072298649	False
479	0.025016973938476003	1151	0.011755093703722616	0.013261880234753387	2.1281815840016316	False
186	0.009714315558573145	804	0.008211203594954808	0.0015031119636183376	1.1830562287533453	False
290	0.015145975870893613	953	0.009732931624368075	0.005413044246525538	1.5561576363048772	False
363	0.018958583590118556	1164	0.011887861921053976	0.00707072166906458	1.594784976139569	False
412	0.021517731237269546	843	0.008609508246948885	0.012908222990320661	2.4992985220607915	False
413	0.021569958740272628	807	0.008241842414338967	0.013328116325933661	2.617128265246338	False
336	0.017548441009035357	1081	0.011040187918092224	0.0065082530909431335	1.589505644218036	False
334	0.017443986003029197	1186	0.012112546596537814	0.0053314394064913825	1.4401584228386204	False
123	0.006423982869379015	171	0.0017464127048971046	0.0046775701644819105	3.678387617866937	True
383	0.020003133650180183	832	0.008497165909206966	0.011505967740973217	2.3540947492276354	False
321	0.016765028463989137	2030	0.020732267783281418	-0.003967239319292281	0.8086442177593578	False
233	0.012169008199717972	1534	0.015666649645100342	-0.003497641445382371	0.7767460481586604	False
478	0.02496474643547292	1613	0.016473471888883214	0.008491274546589708	1.5154514241967336	False
401	0.02094322870423565	1312	0.013399377010672522	0.007543851693563128	1.5630001818408792	False
278	0.014519245834856635	1941	0.019823316141551344	-0.005304070306694709	0.7324327439051971	False
283	0.014780383349872042	2061	0.021048868916917735	-0.006268485567045692	0.7021937097053474	False
502	0.026218206507546873	1610	0.016442833069499056	0.009775373438047817	1.5945066398673615	False
335	0.017496213506032275	1285	0.013123627636215085	0.0043725858698171905	1.3331842376989496	False
97	0.005066067791298898	200	0.002042587958943982	0.0030234798323549163	2.480220138925158	False
94	0.004909385282289654	179	0.0018281162232548639	0.0030812690590347903	2.685488602879282	False
139	0.007259622917428318	214	0.0021855691160700607	0.005074053801358257	3.321616719439223	True
95	0.004961612785292735	194	0.0019813103201756625	0.0029803024651170727	2.504207813772877	False
434	0.022666736303337338	1461	0.01492110504008579	0.007745631263251548	1.5191057393164102	False
438	0.022875646315349663	1516	0.015482816728795383	0.007392829586554279	1.4774860877094078	False
140	0.007311850420431399	218	0.0022264208752489404	0.005085429545182459	3.2841276785162403	True
386	0.02015981615918943	914	0.009334626972373998	0.010825189186815432	2.1596809619551784	False
